project,title,category,program,country,city,street,number,canton/region,zip-code,GPS,year,project_number,cad_num,client,building costs,deepness,phase,subphase,sea_elevation
067_eichstrasse.uitikonwaldegg,eichstrasse.uitikonwaldegg,transformation,housing,Switzerland,Uitikon Waldegg,Eichstrasse,8,Zurich,8142,"47.370007065656345, 8.460680638692832",2018,67,,private,CHF 3'500'000,3,3,built,
068_sustenstrasse.zürich,sustenstrasse.zürich,single building,housing,Switzerland,Zurich,Sustenstrasse,11,Zurich,8048,"47.387812364456224, 8.47794559988678",2019,68,,institutional,CHF 12'500'000,3,3,built,
069_sprensenbühlstrasse.zürich,sprensenbühlstrasse.zürich,transformation,housing,Switzerland,Zurich,Sprensenbühlstrasse,2,Zurich,8032,"47.36888299067958, 8.562954776494609",2019,69,,private,CHF 5'500'000,3,2,construction project,
070_forchstrasse.zürich,forchstrasse.zürich,urban planning,housing,Switzerland,Zurich,Forchstrasse,247,Zurich,8032,"47.35890276463889, 8.571298625024625",2019,70,,private,CHF 16'000'000,3,2,construction project,
071_alterzürichweg.schlieren,alterzürichweg.schlieren,transformation,housing,Switzerland,Schlieren,Alter Zürichweg,6+8,Zurich,8952,"47.393187520849885, 8.449562907448746",2019,71,,private,CHF 1'600'000,3,3,built,
072_disegno.diffuso,disegno.diffuso,installation,objects,,,,,,,"47.36961311743911, 8.51709527408885",2019,72,,,,1(2),3,spin off,
073_urbaniz3r,urbaniz3r,installation,city vision,,,,,,,"46.01182368982848, 8.961400313662278",2019,73,,,,1(2),2,software project,
074_fondazionehenraux.querceta.lucca,fondazionehenraux.querceta.lucca,activity,stone quarry,Italy,Lucca,,,,,"43.98025209079047, 10.199502678049033",2019,74,,,,1(2),2,event,
075_geoz.stadt.zürich,geoz.stadt.zürich,activity,presentation,Switzerland,Zurich,,,,,"47.37033557642352, 8.528618017202474",2019,75,,,,1(3),3,event,
076_feldweg.termen,feldweg.termen,transformation,housing,Switzerland,Termen,Feldweg,47,Wallis,3912,"46.32422332561032, 8.022261687917572",2020,76,,,,1(2),2,preliminary project,
077_rindermarkt.zürich,rindermarkt.zürich,transformation,housing,Switzerland,Zurich,Rindermarkt,6,Zurich,8001,"47.3723953719675, 8.544346307376665",2020,77,,private,CHF 1'500'000,3,2,preliminary project,
078_badenerstrasse.zürich,badenerstrasse.zürich,transformation,housing,Switzerland,Zurich,Badenerstrasse,271,Zurich,8003,"47.37611779778709, 8.515114222212071",2020,78,,private,CHF 2'300'000,3,2,preliminary project,
079_borsaimmobiliare.lugano,borsaimmobiliare.lugano,activity,presentation,Switzerland,Lugano,,,,,"45.98115043344422, 8.929092214194503",2020,79,,,,1(3),3,event,
080_uitikonerstrasse.schlieren,uitikonerstrasse.schlieren,transformation,meeting room,Switzerland,Schlieren,Uitikonerstrasse,29,ZH,8952,"47.39522996119513, 8.448548771136162",2020,80,,private,CHF 250'000,3,3,built,
081_mna.abenteuerreisen.wallis,mna.abenteuerreisen.wallis,activity,travel,Switzerland,,,,,,"46.315058906497796, 7.990468401336954",2020,81,,,,2,2,event,
082_kronenareal.hedingen,kronenareal.hedingen,urban planning,housing,Switzerland,Hedingen,Zürcherstrasse,,Zurich,8908,"47.3000210764568, 8.448806327618959",2020,82,,private,CHF 15'000'000,3,2,construction project,
083_brixel.italia,brixel.italia,activity,selling model,Italy,,,,,,"47.381064302177144, 8.516744410277058",2021,83,,,,1(2),2,spin off,
084_codelounge.zone,codelounge.zone,installation,evaluation model,,,,,,,"46.01182368982848, 8.961400313662278",2021,84,,,,1(2),2,software project,
085_rümlangerstrasse.watt,rümlangerstrasse.watt,single building,housing,Switzerland,Regensdorf-Watt,Rümlangerstrasse,15,ZH,8105,"47.44300692034358, 8.48257407112739",2021,85,,private,CHF 3'500'000,3,2,construction project,
086_sulzerallee.winterthur,sulzerallee.winterthur,urban planning,mixed use,Switzerland,Winterthur,Sulzerallee,,Zurich,8404,"47.50233130039428, 8.762303937992058",2021,86,,private,CHF 26'000'000,3,2,competition,
087_herrligstrasse.zürich,herrligstrasse.zürich,single building,housing,Switzerland,Zurich,Herrligstrasse,11+13,Zurich,8048,"47.39074720045174, 8.486153407715651",2022,87,,,,2,2,preliminary project,
088_dorfplatz.termen,dorfplatz.termen,single building,housing,Switzerland,Termen,Dorfplatz,3,Wallis,3912,"46.32801193235539, 8.022051091637259",2022,88,,,,1(2),2,preliminary project,
089_viacapeter.zignau,viacapeter.zignau,single building,housing,Switzerland,Zignau,Via Capeter,19,Grisons,7167,"46.74113720141929, 9.006799679083358",2023,89,,,,2,2,construction project,
090_rautistrasse.zürich,rautistrasse.zürich,single building,housing,Switzerland,Zurich,Rautistrasse,116,Zurich,8048,"47.383483277014975, 8.485162598124868",2023,90,,,,1(3),2,construction project,
091_micasgarten.zürich,micasgarten.zürich,installation,gastronomy,Switzerland,Zurich,Badenerstrasse,790,Zurich,8003,"47.39297292979813, 8.475953165155913",2023,91,,,,1(2),3,built,
092_otelfingerstrasse.wettingen,otelfingerstrasse.wettingen,urban planning,mixed use,Switzerland,Wettingen,Otelfingerstrasse,15+19,Aargau,5430,"47.459652788955104, 8.342927757860606",2023,92,,,,1(3),2,preliminary project,
