project_name,project_id,year,title,category,phases,program,country,city,street,number,number_range,canton/region,zip-code,gps_latitude,gps_longitude,cad_num,client,building_costs,currency,depth,subphase
061.017_dimension.mittelmeer,61,2017,dimension.mittelmeer,installation,3,territorial vision,,,,,,,,35.3514804554886,17.64942428156650,,,,,3,free project
062.018_weingartenstrasse.naters,62,2018,weingartenstrasse.naters,urban planning,2,primary school,Switzerland,Naters,Weingartenstrasse,,,Wallis,3904,46.3270112910531,7.99961369367252,,public,"6,000,000",CHF,3,competition
063.018_kolibriweg.zürich,63,2018,kolibriweg.zürich,single building,2,housing,Switzerland,Zurich,Kolibriweg,5,,Zurich,8048,47.3848347526388,8.47583241734967,,,,,1(2),preliminary project
064.018_dufourstrasse.zollikon,64,2018,dufourstrasse.zollikon,single building,2,housing,Switzerland,Zollikon,Dufourstrasse,41,,Zurich,8702,47.3433916367121,8.56994719683173,,,,,1(2),preliminary project
065.018_hürststrasse.zürich,65,2018,hürststrasse.zürich,single building,2,housing,Switzerland,Zurich,Hürststrasse,72,,Zurich,8046,47.4156525871605,8.52799409086809,,,,,1(2),preliminary project
066.018_computational.architecture,66,2018,computational.architecture,installation,2,city vision,,,,,,,,45.4288030831708,12.35720315238790,,,,,1(3),competition
067.018_eichstrasse.uitikonwaldegg,67,2018,eichstrasse.uitikonwaldegg,transformation,3,housing,Switzerland,Uitikon Waldegg,Eichstrasse,8,,Zurich,8142,47.3700070656563,8.46068063869283,,private,"3,500,000",CHF,3,built
068.019_sustenstrasse.zürich,68,2019,sustenstrasse.zürich,single building,3,housing,Switzerland,Zurich,Sustenstrasse,11,,Zurich,8048,47.3878123644562,8.47794559988678,,institutional,"12,500,000",CHF,3,built
069.019_sprensenbühlstrasse.zürich,69,2019,sprensenbühlstrasse.zürich,transformation,2,housing,Switzerland,Zurich,Sprensenbühlstrasse,2,,Zurich,8032,47.3688829906796,8.56295477649461,,private,"5,500,000",CHF,3,construction project
070.019_forchstrasse.zürich,70,2019,forchstrasse.zürich,urban planning,2,housing,Switzerland,Zurich,Forchstrasse,247,,Zurich,8032,47.3589027646389,8.57129862502463,,private,"16,000,000",CHF,3,construction project
071.019_alterzürichweg.schlieren,71,2019,alterzürichweg.schlieren,transformation,3,housing,Switzerland,Schlieren,Alter Zürichweg,,6-8,Zurich,8952,47.3931875208499,8.44956290744875,,private,"1,600,000",CHF,3,built
072.019_disegno.diffuso,72,2019,disegno.diffuso,installation,3,objects,,,,,,,,47.3696131174391,8.51709527408885,,,,,1(2),spin off
